symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
NEM,2022-07-25,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752322000888/a52789249.htm,2022-07-25T11:00:40Z,2022-07-25T11:00:40Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2022-11-01,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752322001452/a52955822.htm,2022-11-01T11:03:34Z,2022-11-01T11:03:34Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2023-02-23,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752323000340/a53340839.htm,2023-02-23T12:01:28Z,2023-02-23T12:01:28Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2023-04-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752323000631/a53388436.htm,2023-04-27T11:00:35Z,2023-04-27T11:00:35Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2023-07-20,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752323001113/a53468942.htm,2023-07-20T11:00:29Z,2023-07-20T11:00:29Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2023-10-26,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752323001555/a53687147.htm,2023-10-26T11:00:37Z,2023-10-26T11:00:37Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2024-02-22,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000006/nem-20240222.htm,2024-02-22T12:00:35Z,2024-02-22T12:00:35Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2024-04-25,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000025/nem-20240425.htm,2024-04-25T11:00:33Z,2024-04-25T11:00:33Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2024-07-24,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000116472724000035/nem-20240724.htm,2024-07-24T20:05:28Z,2024-07-24T20:05:28Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2021-10-14,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176621000040/unh-20211014.htm,2021-10-14T10:05:32Z,2021-10-14T10:05:32Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2022-01-19,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176622000004/unh-20220119.htm,2022-01-19T11:03:59Z,2022-01-19T11:03:59Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2022-04-14,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176622000016/unh-20220414.htm,2022-04-14T10:02:26Z,2022-04-14T10:02:26Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2022-07-15,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176622000033/unh-20220715.htm,2022-07-15T10:02:07Z,2022-07-15T10:02:07Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2022-10-14,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176622000041/unh-20221014.htm,2022-10-14T10:06:29Z,2022-10-14T10:06:29Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2023-01-13,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176623000003/unh-20230113.htm,2023-01-13T11:01:14Z,2023-01-13T11:01:14Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2023-04-14,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176623000026/unh-20230414.htm,2023-04-14T10:02:56Z,2023-04-14T10:02:56Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2023-07-14,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176623000049/unh-20230714.htm,2023-07-14T10:04:16Z,2023-07-14T10:04:16Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2023-10-13,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176623000058/unh-20231013.htm,2023-10-13T10:03:32Z,2023-10-13T10:03:32Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
UNH,2024-01-12,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/731766/000073176624000023/unh-20240112.htm,2024-01-12T11:01:27Z,2024-01-12T11:01:27Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
